"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"Mike Gminski","1981","1994","C","6-11","250","August 3 1959","Duke"
"Rudy Gobert","2014","2022","C","7-1","258","June 26 1992",""
"Dan Godfread","1991","1992","C","6-10","250","June 14 1967","University of Evansville"
"Tom Gola*","1956","1966","G-F","6-6","205","January 13 1933","La Salle"
"Ben Goldfaden","1947","1947","F","6-1","185","September 6 1913","George Washington"
"Anthony Goldwire","1996","2006","G","6-1","182","September 6 1971","Houston"
"Ryan Gomes","2006","2014","F","6-7","250","September 1 1982","Providence"
"Glen Gondrezick","1978","1983","F-G","6-6","218","August 30 1955","UNLV"
"Grant Gondrezick","1987","1989","G","6-5","205","January 19 1963","Pepperdine"
"Drew Gooden","2003","2016","F","6-10","250","September 24 1981","Kansas"
"Gail Goodrich*","1966","1979","G","6-1","170","April 23 1943","UCLA"
"Steve Goodrich","2001","2002","F","6-10","220","March 18 1976","Princeton"
"Archie Goodwin","2014","2017","G","6-5","200","August 17 1994","Kentucky"
"Brandon Goodwin","2019","2022","G","6-0","180","October 2 1995","Central Florida Florida Gulf Coast"
"Jordan Goodwin","2022","2022","G","6-3","200","October 23 1998","Saint Louis"
"Pop Goodwin","1947","1948","F-C","6-2","203","December 22 1920",""
"Aaron Gordon","2015","2022","F","6-8","235","September 16 1995","Arizona"
"Ben Gordon","2005","2015","G","6-3","200","April 4 1983","UConn"
"Drew Gordon","2015","2015","F","6-9","245","July 12 1990","UCLA New Mexico"
"Eric Gordon","2009","2022","G-F","6-3","215","December 25 1988","Indiana"
"Lancaster Gordon","1985","1988","G","6-3","185","June 24 1962","Louisville"
"Paul Gordon","1950","1950","F","6-3","185","April 8 1927","Notre Dame"
"Marcin Gortat","2008","2019","C-F","6-11","240","February 17 1984",""
"Leo Gottlieb","1947","1948","G","5-11","180","November 28 1920",""
"Andrew Goudelock","2012","2016","G","6-3","200","December 7 1988","College of Charleston"
"Gerald Govan","1968","1976","F-C","6-10","220","January 2 1942","Saint Mary of the Plains College"
"Bato Govedarica","1954","1954","G","5-11","185","April 17 1928","DePaul"
"Joe Graboski","1949","1962","F-C","6-7","195","January 15 1930",""
"Ricky Grace","1994","1994","G","6-1","180","August 20 1967","Midland College Oklahoma"
"Calvin Graham","1968","1968","G","6-2","195","June 7 1944","Gannon University"
"Devonte' Graham","2019","2022","G","6-1","195","February 22 1995","Kansas"
"Greg Graham","1994","1998","G","6-4","174","November 26 1970","Indiana"
"Joey Graham","2006","2011","F","6-7","225","June 11 1982","Central Florida Oklahoma State"
"Mal Graham","1968","1969","G","6-1","185","February 23 1945","NYU"
"Orlando Graham","1989","1989","F","6-8","220","May 5 1965","West Texas A&M University Auburn University at Montgomery"
"Paul Graham","1992","1994","F-G","6-6","200","November 28 1967","Ohio University"
"Stephen Graham","2006","2011","G","6-6","215","June 11 1982","Central Florida Oklahoma State"
"Treveon Graham","2017","2020","G","6-5","219","October 28 1993","VCU"
"Jim Grandholm","1991","1991","F-C","7-0","235","October 4 1960","Florida South Florida"
"Ron Grandison","1989","1996","F","6-6","215","July 9 1964","University of California Irvine New Orleans"
"Danny Granger","2006","2015","F","6-9","222","April 20 1983","Bradley New Mexico"
"Stewart Granger","1984","1987","G","6-3","190","October 27 1961","Villanova"
"Brian Grant","1995","2006","F","6-9","254","March 5 1972","Xavier"
"Bud Grant","1950","1951","F","6-3","195","May 20 1927","Minnesota"
"Gary Grant","1989","2001","G","6-3","185","April 21 1965","Michigan"
"Greg Grant","1990","1996","G","5-7","140","August 29 1966","Trenton State University"
"Harvey Grant","1989","1999","F","6-8","195","July 4 1965","Clemson Oklahoma"
"Horace Grant","1988","2004","F-C","6-10","215","July 4 1965","Clemson"
"Jerami Grant","2015","2022","F","6-8","210","March 12 1994","Syracuse"
"Jerian Grant","2016","2020","G","6-4","205","October 9 1992","Notre Dame"
"Josh Grant","1994","1994","F","6-9","223","August 7 1967","Utah"
"Paul Grant","1999","2004","C","7-0","245","January 6 1974","Boston College Wisconsin"
"Travis Grant","1973","1976","F","6-7","215","January 1 1950","Kentucky State University"
"Donte Grantham","2019","2019","F","6-8","215","March 19 1995","Clemson"
"Don Grate","1950","1950","F-G","6-2","185","August 27 1923","Ohio State"
"Butch Graves","1985","1985","G","6-3","200","January 5 1962","Yale"
"Hassani Gravett","2022","2022","G","6-2","188","July 16 1996","Pensacola State South Carolina"
"Aaron Gray","2008","2014","C","7-0","270","December 7 1984","Pitt"
"Devin Gray","1997","2000","F","6-7","240","May 31 1972","Clemson"
"Ed Gray","1998","1999","G","6-3","210","September 27 1975","Tennessee California"
"Evric Gray","1997","1997","F","6-7","235","December 13 1969","UNLV"
"Gary Gray","1968","1968","G","6-1","185","February 23 1945","Oklahoma City University"
"Josh Gray","2018","2020","G","6-0","180","September 9 1993","LSU"
"Leonard Gray","1975","1977","F","6-8","240","December 19 1951","Cal State Long Beach"
"Stuart Gray","1985","1991","C-F","7-0","235","May 27 1963","UCLA"
"Sylvester Gray","1989","1989","F","6-6","230","July 8 1967","Memphis"
"Wyndol Gray","1947","1948","G-F","6-1","175","March 20 1922","Harvard University"
"Jeff Grayer","1989","1998","F-G","6-5","200","December 17 1965","Iowa State"
"Bob Greacen","1970","1972","F","6-7","206","September 15 1947","Rutgers University"
"A.C. Green","1986","2001","F-C","6-9","220","October 4 1963","Oregon State"
"Danny Green","2010","2022","G-F","6-6","215","June 22 1987","UNC"
"Devin Green","2006","2006","G","6-7","210","October 25 1982","Hampton"
"Draymond Green","2013","2022","F","6-6","230","March 4 1990","Michigan State"
"Erick Green","2015","2016","G","6-4","185","May 9 1991","Virginia Tech"
"Gerald Green","2006","2019","G-F","6-6","205","January 26 1986",""
"Jalen Green","2022","2022","G","6-4","178","February 9 2002",""
"JaMychal Green","2015","2022","F","6-8","227","June 21 1990","Alabama"
"Javonte Green","2020","2022","F","6-4","205","July 23 1993","Radford"
"Jeff Green","2008","2022","F","6-8","235","August 28 1986","Georgetown"
"Johnny Green","1960","1973","F-C","6-5","200","December 8 1933","Michigan State"
"Josh Green","2021","2022","G-F","6-5","200","November 16 2000","Arizona"
"Ken Green","1986","1986","F","6-8","215","September 19 1959","University of Texas Rio Grande Valley"
"Kenny Green","1986","1987","F","6-6","210","October 11 1964","Wake Forest"
"Lamar Green","1970","1975","F-C","6-7","210","March 22 1947","Morehead State University"
"Litterial Green","1993","1999","G","6-1","185","March 7 1970","Georgia"
"Luther Green","1970","1973","F","6-7","190","November 13 1946","Long Island University"
"Mike Green","1974","1980","C-F","6-10","200","August 6 1951","Louisiana Tech"
"Rickey Green","1978","1992","G","6-0","170","August 18 1954","Vincennes University Michigan"
"Sean Green","1992","1994","G-F","6-5","210","February 2 1970","NC State Iona College"
"Si Green","1957","1966","G-F","6-2","185","August 20 1933","Duquesne"
"Sidney Green","1984","1993","F-C","6-9","220","January 4 1961","UNLV"
"Steve Green","1976","1979","F","6-7","220","October 4 1953","Indiana"
"Taurean Green","2008","2008","G","6-0","177","November 28 1986","Florida"
"Tommie Green","1979","1979","G","6-2","185","April 8 1956","Southern University and A&M College"
"Willie Green","2004","2015","G","6-4","200","July 28 1981","Detroit Mercy"
"Donté Greene","2009","2012","F","6-11","226","February 21 1988","Syracuse"
"Orien Greene","2006","2011","G","6-4","208","February 4 1982","Florida Louisiana"
"Jerry Greenspan","1964","1965","F","6-5","195","November 22 1941","Maryland"
"Dave Greenwood","1980","1991","F-C","6-9","222","May 27 1957","UCLA"
"Hal Greer*","1959","1973","G-F","6-2","175","June 26 1936","Marshall"
"Lynn Greer","2007","2007","G","6-2","175","October 23 1979","Temple"
"Gary Gregor","1969","1974","F-C","6-7","225","August 13 1945","South Carolina"
"Claude Gregory","1986","1988","F","6-8","205","December 26 1958","Wisconsin"
"John Greig","1983","1983","F","6-7","215","April 28 1961","Oregon"
"Norm Grekin","1954","1954","F","6-5","180","June 22 1930","La Salle"
"Kevin Grevey","1976","1985","G-F","6-5","210","May 12 1953","Kentucky"
"Dennis Grey","1969","1970","C-F","6-8","215","August 26 1947","California Western Uiversity"
"Adrian Griffin","2000","2008","G-F","6-5","217","July 4 1974","Seton Hall"
"Blake Griffin","2011","2022","F","6-9","250","March 16 1989","Oklahoma"
"Eddie Griffin","2002","2007","F-C","6-10","220","May 30 1982","Seton Hall"
"Greg Griffin","1978","1978","F","6-7","190","September 6 1952","Idaho State University"
"Paul Griffin","1977","1983","F-C","6-9","205","January 20 1954","Western Michigan"
"Taylor Griffin","2010","2010","F","6-7","238","April 18 1986","Oklahoma"
"Darrell Griffith","1981","1991","G","6-4","190","June 16 1958","Louisville"
"Chuck Grigsby","1955","1955","G","6-5","190","August 15 1928","Dayton"
"Quentin Grimes","2022","2022","G","6-5","205","May 8 2000","Kansas Houston"
"Derek Grimm","1998","1998","F","6-9","230","August 3 1974","Missouri"
"Woody Grimshaw","1947","1947","G","6-1","185","September 24 1919","Brown University"
"Dick Groat","1953","1953","G","5-11","180","November 4 1930","Duke"
"Bob Gross","1976","1983","F-G","6-6","200","August 3 1953","Seattle University Cal State Long Beach"
"Mike Grosso","1972","1972","C","6-9","230","September 7 1947","Louisville"
"Jerry Grote","1965","1965","G","6-4","215","December 28 1940","Loyola Marymount"
"Alex Groza","1950","1951","C","6-7","218","October 7 1926","Kentucky"
"Dick Grubar","1970","1970","G","6-4","184","July 26 1947","UNC"
"Anthony Grundy","2006","2006","G","6-3","180","April 15 1979","NC State"
"Ernie Grunfeld","1978","1986","G-F","6-6","210","April 24 1955","Tennessee"
"Gene Guarilia","1960","1963","F","6-5","220","September 13 1937","George Washington"
"Pétur Guðmundsson","1982","1989","C","7-2","260","October 30 1958","Washington"
"Marko Guduric","2020","2020","G","6-6","201","March 8 1995",""
"Richie Guerin*","1957","1970","G","6-4","195","May 29 1932","Iona College"
"Tom Gugliotta","1993","2005","F","6-10","240","December 19 1969","NC State"
"Andrés Guibert","1994","1995","F-C","6-10","225","October 28 1968",""
"Jay Guidinger","1993","1994","C","6-10","255","August 18 1969","University of Minnesota Duluth"
"Coulby Gunther","1947","1949","F","6-4","190","February 5 1923","Boston College"
"Dave Gunther","1963","1963","F","6-7","190","July 22 1937","Iowa"
"Al Guokas","1950","1950","F-G","6-5","200","August 7 1925","Saint Joseph's"
"Matt Guokas","1947","1947","F","6-3","195","November 11 1915","Saint Joseph's"
"Matt Guokas","1967","1976","G-F","6-5","175","February 25 1944","Saint Joseph's"
"Jorge Gutiérrez","2014","2016","G","6-3","191","December 27 1988","California"
"Kyle Guy","2020","2022","G","6-1","167","August 11 1997","Virginia"
"A.J. Guyton","2001","2003","G","6-1","180","February 12 1978","Indiana"
"Rui Hachimura","2020","2022","F","6-8","230","February 8 1998","Gonzaga"
"Rudy Hackett","1976","1977","F","6-9","210","May 10 1953","Syracuse"
"Hamed Haddadi","2009","2013","C","7-2","254","May 19 1985",""
"Jim Hadnot","1968","1968","C-F","6-10","235","January 15 1940","Providence"
"Scott Haffner","1990","1991","G","6-3","180","February 2 1966","Illinois University of Evansville"
"Cliff Hagan*","1957","1970","F-G","6-4","210","December 9 1931","Kentucky"
"Glenn Hagan","1982","1982","G","6-0","170","June 25 1955","St. Bonaventure"
"Tom Hagan","1970","1971","G","6-3","185","January 29 1947","Vanderbilt"
"Ashton Hagans","2021","2021","G","6-3","190","July 8 1999","Kentucky"
"Robert Hahn","1950","1950","C","6-10","240","August 25 1925","NC State"
"Al Hairston","1969","1970","G","6-1","170","December 11 1945","Bowling Green"
"Happy Hairston","1965","1975","F","6-7","225","May 31 1942","NYU"
"Lindsay Hairston","1976","1976","F-C","6-7","180","December 8 1951","Michigan State"
"Malik Hairston","2009","2010","G","6-6","220","February 23 1987","Oregon"
"P.J. Hairston","2015","2016","G-F","6-6","230","December 24 1992","UNC"
"Marcus Haislip","2003","2010","F","6-10","230","December 22 1980","Tennessee"
"Chick Halbert","1947","1951","C","6-9","225","February 27 1919","West Texas A&M University"
"Swede Halbrook","1961","1962","C","7-3","235","January 30 1933","Oregon State"
"Bruce Hale","1949","1951","G-F","6-1","170","August 30 1918","Santa Clara"
"Hal Hale","1968","1968","G","6-1","180","September 21 1945","Utah State University"
"Jack Haley","1989","1998","C-F","6-10","240","January 27 1964","UCLA"
"Tyrese Haliburton","2021","2022","G","6-5","185","February 29 2000","Iowa State"
"Shaler Halimon","1969","1973","G-F","6-5","199","March 30 1945","Utah State University"
"Devon Hall","2020","2020","G","6-2","215","July 7 1995","Virginia"
"Donta Hall","2020","2021","F","6-9","232","August 7 1997","Alabama"
"Josh Hall","2021","2021","F","6-9","190","October 8 2000",""
"Mike Hall","2007","2007","F","6-8","230","June 5 1984","George Washington"
"Tyler Hall","2022","2022","G","6-5","209","March 25 1997","Montana State"
"Jeff Halliburton","1972","1973","G","6-5","193","July 3 1949","Drake University"
"Darvin Ham","1997","2005","F","6-7","220","July 23 1973","Texas Tech"
"Steve Hamer","1997","1997","C","7-0","245","November 13 1973","Tennessee"
"Dale Hamilton","1950","1950","G-F","6-0","180","August 16 1919","Franklin College"
"Daniel Hamilton","2018","2019","G-F","6-7","195","August 8 1995","UConn"
"Dennis Hamilton","1968","1971","F","6-8","210","May 8 1944","Arizona State"
"Joe Hamilton","1971","1976","G","5-10","160","July 5 1948","University of North Texas"
"Jordan Hamilton","2012","2016","G-F","6-7","220","October 6 1990","Texas"
"Justin Hamilton","2014","2017","C","7-0","260","April 1 1990","Iowa State LSU"
"Ralph Hamilton","1949","1949","G-F","6-1","188","June 10 1921","Indiana"
"Richard Hamilton","2000","2013","G-F","6-6","185","February 14 1978","UConn"
"Roy Hamilton","1980","1981","G","6-2","180","July 20 1957","UCLA"
"Steve Hamilton","1959","1960","F-C","6-6","190","November 30 1934","Morehead State University"
"Tang Hamilton","2002","2002","F","6-8","220","May 26 1978","Mississippi State"
"Thomas Hamilton","1996","2000","C","7-2","330","April 3 1975","Pitt"
"Zendon Hamilton","2001","2006","C-F","6-11","250","April 27 1975","St. John's"
"Geert Hammink","1994","1996","C","7-0","262","July 12 1969","LSU"
"Julian Hammond","1968","1972","F","6-5","205","May 27 1943","Tulsa"
"Tom Hammonds","1990","2001","F","6-9","215","March 27 1967","Georgia Tech"
"A.J. Hammons","2017","2017","C","7-0","260","August 27 1992","Purdue"
"Joe Hamood","1968","1968","G","6-0","180","September 7 1943","Houston"
"R.J. Hampton","2021","2022","G","6-4","175","February 7 2001",""
"Darrin Hancock","1995","1997","G-F","6-7","205","November 3 1971","Kansas"
"Ben Handlogten","2004","2005","C","6-10","240","November 16 1973","Western Michigan"
"Cecil Hankins","1947","1948","G","6-1","175","January 6 1922","Oklahoma State"
"Phil Hankinson","1974","1975","F","6-8","195","July 26 1951","Penn"
"Dusty Hannahs","2019","2020","G","6-3","210","September 2 1993","Texas Tech Arkansas"
"Alex Hannum*","1950","1957","F-C","6-7","210","July 19 1923","USC"
"Don Hanrahan","1953","1953","F","6-7","200","February 6 1929","Loyola Chicago"
"Rollen Hans","1954","1955","G","6-2","210","April 13 1931","Long Island University"
"Ben Hansbrough","2013","2013","G","6-3","203","December 23 1987","Mississippi State Notre Dame"
"Tyler Hansbrough","2010","2016","F","6-9","250","November 3 1985","UNC"
"Bob Hansen","1984","1992","G","6-6","190","January 18 1961","Iowa"
"Glenn Hansen","1976","1978","G","6-4","205","April 21 1952","LSU"
"Lars Hansen","1979","1979","C","6-10","225","September 14 1954","Washington"
"Travis Hansen","2004","2004","G","6-6","205","April 15 1978","Utah Valley BYU"
"Reggie Hanson","1998","1998","F","6-8","195","October 6 1968","Kentucky"
"Bill Hanzlik","1981","1990","G-F","6-7","185","December 6 1957","Notre Dame"
"Luke Harangody","2011","2012","F","6-8","246","January 2 1988","Notre Dame"
"Anfernee Hardaway","1994","2008","G-F","6-7","195","July 18 1971","Memphis"
"Tim Hardaway*","1990","2003","G","6-0","175","September 1 1966","Texas-El Paso"
"Tim Hardaway Jr.","2014","2022","G","6-5","205","March 16 1992","Michigan"
"James Harden","2010","2022","G","6-5","220","August 26 1989","Arizona State"
"Reggie Harding","1964","1968","C","7-0","249","May 4 1942",""
"Charlie Hardnett","1963","1965","F-C","6-8","225","September 13 1938","Grambling State University"
